text_clean,label
🐕‍🦺🐕‍🦺🐕‍🦺🐕‍🦺🐕‍🦺🐕‍🦺🐕‍🦺🐕‍🦺🐕‍🦺🐕‍🦺🐕‍🦺,not hope
प्रधानमंत्री जिंदाबाद प्रधानमंत्री नरेंद्र मोदी हिंदुस्तान जिंदाबाद,hope
👑✝️👍⛪⚓🇲🇲🇲🇲🇲🇲🇲🇲🤝,not hope
What a joke? 😂😂😂,not hope
Rejin. Reghu. Nya Sagai karanji. Ji. Rejin. Reghu. 🙏🙏🙏🙏🙏🙏🙏🙏🙏,not hope
english isliye bolla taki pak samaj nah paaya aur jab tak samjega tab tak taata byebye good bye gaya,not hope
Bjp jindabad,hope
PakArmy zindabad ❤ Pakistan zindabad ❤,hope
❤❤❤❤❤❤❤❤👍👍👍👍👍👍👍👍👍,not hope
😁😁😁😄😃,not hope
నరేంద్ర మోడీ పరిపాలన శ్రీరాముని పాలన లాంటిది🎉 నరేంద్ర మోడీకి శ్రీరామరక్ష🎉 జైశ్రీరామ్,hope
*Kalpana se bhi badi saza milegi* Masur Ajgar ki family uda di 🔥,not hope
LAXMAN NAIDU DAUGHTER KILLED OWN BROTHER FOR PROPERTY IN MAHABALESHWAR HOTEL LAXMI MAHABALESHWAR 0:02 0:02,not hope
पाकिस्तानी लष्करो पर विश्र्वास मत karana,not hope
"JYOTIRADITYA SINDHIYA AGRICULTURE MINISTER INDIA HUSBAND OF NIHARIKA SAXENA URF SETU BHAIYA TAUJI KE BETE KI BAHANA AAP KING HAMESHA SE THE SIR AAPKO ISS SE KYA CHAHIYE THA APNE KUCH NHI CHORA , MUJHPE EXTREME RADIATION AB PHIRSE START KRVADIYE , HAR HARKAT SHAITANI KHURAFAT PR PURE GLOBE 🌎 KI NAZAR HAI AP SABKI❤",not hope
ParamAadarniy Dr. Mahesh Sharma Mantriji ki jaiho,hope
Mamsdf. Mamsdf. Mamsdf,not hope
Good morning sir PM modi ji ❤❤❤❤❤❤❤❤❤ jai shree ram ram ram ram ram ram ram ram ram,hope
Good night sir PM modi ji ❤❤❤❤❤❤❤❤❤ malik aapko koti koti naman sir please aapko bahut bahut badhai shubhkamnaye jai hind sir me sakaraatmak hai aap par Devin univars per pura vishvas hai malik aapko jo bhi acha lagta hai me tyar hai anushasan ke liye aur aapke sath hai sir me aapke sath hai malik aapko bahut bahut badhai shubhkamnaye jai hind sir please mujhe koi galti ho mujhe maaf kar Dena malik me viksit india ke kalpna karta hu aur aapke sath hai malik aapko bahut bahut badhai shubhkamnaye jai hind radhe radhe jai shree krishna jai shree shyam jai shree ram ram ram ram ram ram ram ram ram,hope
